Ապրանքի անվանում,Գին,Ապրանքի կոդ,Հասանելիություն
"Կաթնաշոռ «Երեմյան Փրոդաքթս» 180մլ, յուղայնությունը՝ 12%",760.,7981,Available
"Կարագ «Երեմյան Փրոդաքթս» 200գ, յուղայնությունը՝ 82.5%",1 760.,230412,Available
"Կաթ «Երեմյան Փրոդաքթս» 750մլ, յուղայնությունը՝ 3.2%",950.,7271,Available
"Մածուն «Երեմյան Փրոդաքթս» 450g, յուղայնությունը՝ 3.6%",630.,7257,Available
"Թթվասեր «Երեմյան Փրոդաքթս» 450գ, յուղայնությունը` 25%",1 290.,4164,Available
"Թթվասեր «Երեմյան Փրոդաքթս» 200գ, յուղայնությունը` 25%",750.,595625,Available
"Զեֆիր ""Di&Di Умные сладости"" 175գ",2 720.,2599,Available
Խրթխրթան հացեր հնդկաձավարով և գետնախնձորով «Di&Di» 195գ,1 100.,4673,Available
Հաց առանց գլյուտենի «Schar Pan Blanco» 250գ,1 990.,195415,Available
Հաց առանց գլյուտենի «Schar Pan Rustico» 250գ,2 350.,195419,Available
Ալյուր ունիվերսալ «Garnec» 600գ,1 940.,102247,Available
Չիպս գրիլի «Amica Alfredo's» 130գ,1 390.,4716,Available
Չիպս հազրեվարդով «Amica Alfredo's» 130գ,1 390.,4718,Available
Չիպս օրիգինալ «Amica» 100գ,890.,4719,Available
Վաֆլի՝ պնդուկով «Schar» 105գ,2 350.,27840,Available
Շոկոլադե սալիկ ստեվիայով «Di&Di Умные сладости» 90գ,1 570.,4826,Available
Սպիտակուցային բատոն «Bombbar Chocolate» 60գ,1 150.,436467,Available
Շոկոլադե սալիկ կաթնային «Valor» 100գ,1 550.,6398,Available
Շոկոլադե սալիկ նուշով «Valor» 150գ,2 490.,6399,Available
Պաղպաղակ բալի «Siviero Maria Affogato Amarena» 500գ,3 940.,101485,Available
Պաղպաղակ շոկոլադե-ընկուզային «Siviero Maria Bacio» 500գ,3 940.,101489,Available
Պաղպաղակ կապուչինոյի «Siviero Maria Cappuccino» 500գ,3 940.,101497,Available
Պաղպաղակ շոկոլադե «Siviero Maria Cioccolatissimo» 500գ,3 940.,101498,Available
Պաղպաղակ ելակի «Siviero Maria Fragola» 500գ,3 940.,101503,Available
Պաղպաղակ կիտրոնի «Siviero Maria Limone» 500գ,3 940.,101504,Available
Պաղպաղակ պանա կոտտա «Siviero Maria Panna cotta» 500գ,3 940.,101514,Available
Պաղպաղակ պիստակի «Siviero Maria Pistacchio» 500գ,3 940.,101519,Available
Պաղպաղակ տիրամիսու «Siviero Maria Tiramisu» 500գ,3 940.,101526,Available
Պաղպաղակ վանիլային «Siviero Maria Vanilla» 500գ,3 940.,101531,Available
Շոկոլադե կոնֆետների հավաքածու «Venchi» 194գ,10 900.,112666,Available
"Կաթնաշոռ «Երեմյան Փրոդաքթս» 180գ, յուղայնությունը՝ 0,5%",680.,625219,Available
Պանիր լոռի «Երեմյան Փրոդաքթս»,3 990.,180507,Available
Ռեժան «Երեմյան Փրոդաքթս» 200գ,1 260.,230746,Available
"Յոգուրտ ըմպելի ելակով «Երեմյան Փրոդաքթս» 330գ, յուղայնությունը՝ 0.5%",390.,285796,Available
Սոուս ձաձիկի «Esti» 150գ,1 530.,620344,Available
Յոգուրտ ըմպելի ելակի «Միլկին» 300գ,390.,624953,Available
Յոգուրտ ըմպելի հատապտղային «Միլկին» 300գ,390.,624959,Available
Թթվասեր «Միլկին» 180գ յուղայնությունը` 18%,370.,624964,Available
"Մածուն «Միլկին» 450գ, յուղայնությունը` 3,4%",430.,624967,Available
Թթվասեր «Միլկին» 400գ յուղայնությունը` 18%,750.,624969,Available
"Կաթ «Երեմյան Փրոդաքթս» 750մլ, յուղայնությունը՝ 0.5%",840.,7270,Available
Չիպս «Amica Alfredo's» 130գ Աղի,1 390.,4715,Available
Շոկոլադե սալիկ ստեվիայով «Di&Di Умные сладости» 90գ,1 570.,4825,Available
"Պաստիլա ""Di&Di Умные сладости"" 175գ",2 720.,3814,Available
Տորթ շոկոլադե «Toblerone» 400գ,5 490.,4595,Available
Շոկոլադե սալիկ պնդուկով «Valor» 250գ,3 100.,6411,Available
Շոկոլադե սալիկ դառը՝ նուշով «Valor» 250գ,3 550.,6412,Available
Շոկոլադե սալիկ դառը՝ պնդուկով «Valor» 250գ,3 550.,6413,Available
Պանիր հալած «Երեմյան Փրոդաքթս» 200գ,950.,242957,Available
Շոկոլադե սալիկ նուշով «Valor» 250գ,3 100.,6414,Available
Պանիր ռիկոտա «Երեմյան Փրոդաքթս» 180գ,770.,369426,Available
Մակարոն  «Sam Mills Pasta d'oro pipette» 500գ,1 250.,292630,Available
Հաց բագետ «Balviten»175գ,1 890.,666647,Available
Հաց համբուրգերի «Balviten» 2հատ 140գ,2 050.,666648,Available
Սոուս պեստո «De Cecco Pesto alla Genovese» 190գ,1 890.,4378,Available
Չիպս պապրիկայի «Schar Curvies» 170գ,2 690.,398362,Available
Ալյուր «Garnec» 600գ,1 990.,102170,Available
Չիպս օրիգինալ «Schar Curvies» 170գ,2 690.,398364,Available
Զեֆիր «Di&Di Умные Сладости» 60գ Վանիլային,990.,2600,Available
Պիցցայի խմոր «Schar» 300գ,3 720.,93482,Available
